sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
Catherine is big.,Catherine is not enourmous.,neutral,entailment,implicature_PtoN,target,adjective,big-enourmous,"If Catherine is big, it implies she is not enormous, as ""big"" does not equate to ""enormous."""
Catherine is not enourmous.,Catherine is big.,neutral,entailment,implicature_NtoP,target,adjective,big-enourmous,"If Catherine is not enormous, it logically follows that she cannot be classified as big, making sentence 2 an entailment of sentence 1."
Catherine is big.,Catherine is enourmous.,neutral,contradiction,negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that exceeds ""big,"" suggesting a discrepancy in the description of Catherine's size."
Catherine is enourmous.,Catherine is big.,entailment,contradiction,reverse negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that is significantly larger than ""big,"" suggesting that if Catherine is enormous, she cannot simply be described as big."
Catherine is not enourmous.,Catherine is not big.,neutral,contradiction,negated implicature_N,target,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because if Catherine is not enormous, it does not necessarily imply that she is also not big, as ""not enormous"" allows for the possibility of being of a smaller size, while ""not big"" suggests a definitive absence of size."
Catherine is not big.,Catherine is not enourmous.,entailment,contradiction,reverse negated implicature_N,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because if Catherine is not big, it implies she cannot be described as not enormous, as ""big"" and ""enormous"" are often used interchangeably in terms of size."
Catherine is enourmous.,Catherine is not big.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because stating that ""Catherine is not big"" directly opposes the assertion that ""Catherine is enormous,"" as being enormous inherently implies being big."
Catherine is not big.,Catherine is enourmous.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 directly contradicts Sentence 1 because describing Catherine as ""enormous"" implies she is large, which opposes the assertion that she is ""not big."""
Catherine is not big.,Catherine is enourmous.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 directly contradicts Sentence 1 because describing Catherine as ""enormous"" implies she is large, which opposes the assertion that she is ""not big."""
Catherine is big.,Catherine is not big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Catherine does not possess the quality of being big, thereby creating a contradiction."
Catherine is not big.,Catherine is big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly asserts the opposite of what Sentence 1 states, making it a clear contradiction."
Catherine is enourmous.,Catherine is not enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Catherine is not enormous, which contradicts the claim that she is."
Catherine is not enourmous.,Catherine is enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly asserts the opposite of Sentence 1 by claiming that Catherine is enormous, thereby contradicting the statement that she is not."
The glass is good.,The glass is not excellent.,neutral,entailment,implicature_PtoN,target,adjective,good-excellent,"The statement ""The glass is good"" implies a positive quality, which allows for the possibility that it may not reach the highest standard of ""excellent,"" thus supporting the entailment that ""The glass is not excellent."""
The glass is not excellent.,The glass is good.,neutral,entailment,implicature_NtoP,target,adjective,good-excellent,"If the glass is not excellent, it implies that it cannot be considered good, thus making sentence 2 an entailment of sentence 1."
The glass is good.,The glass is excellent.,neutral,contradiction,negated implicature_P,target,adjective,good-excellent,"Sentence 2 is a contradiction of Sentence 1 because ""excellent"" implies a higher quality than ""good,"" suggesting that the glass cannot simultaneously be classified as merely ""good."""
The glass is excellent.,The glass is good.,entailment,contradiction,reverse negated implicature_P,target,adjective,good-excellent,"Sentence 2 contradicts Sentence 1 because ""excellent"" implies a higher quality than ""good,"" making it impossible for the same glass to be both excellent and merely good at the same time."
The glass is not excellent.,The glass is not good.,neutral,contradiction,negated implicature_N,target,adjective,good-excellent,"Sentence 2 contradicts Sentence 1 because if the glass is not excellent, it could still be considered good, but stating it is not good implies a lower quality than merely not being excellent."
The glass is not good.,The glass is not excellent.,entailment,contradiction,reverse negated implicature_N,target,adjective,good-excellent,"Sentence 2 is a contradiction of Sentence 1 because stating that ""the glass is not excellent"" implies it could still be acceptable or good, whereas Sentence 1 explicitly states that the glass is ""not good"" at all."
The glass is excellent.,The glass is not good.,contradiction,contradiction,opposite,control,adjective,good-excellent,"Sentence 2 contradicts Sentence 1 because stating that ""the glass is not good"" directly opposes the positive evaluation of ""the glass is excellent."""
The glass is not good.,The glass is excellent.,contradiction,contradiction,opposite,control,adjective,good-excellent,"Sentence 2 directly opposes the evaluation of quality presented in Sentence 1, asserting that the glass is of high quality while Sentence 1 claims it is not."
The glass is good.,The glass is not good.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly negates the assertion made in Sentence 1, thereby contradicting its claim about the quality of the glass."
The glass is not good.,The glass is good.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly opposes the assertion made in Sentence 1 by claiming the glass is good, which contradicts the statement that it is not good."
The glass is excellent.,The glass is not excellent.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly negates the quality asserted in Sentence 1, making it a clear contradiction."
The glass is not excellent.,The glass is excellent.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly opposes the assertion made in Sentence 1 by affirming the glass's excellence, which is explicitly denied in Sentence 1."
Art galleries are big.,Art galleries are not enourmous.,neutral,entailment,implicature_PtoN,target,adjective,big-enourmous,"The statement ""Art galleries are big"" implies a certain size, which does not necessarily contradict the idea that they are ""not enormous,"" thus supporting the entailment."
Art galleries are not enourmous.,Art galleries are big.,neutral,entailment,implicature_NtoP,target,adjective,big-enourmous,"The statement in sentence2 contradicts the assertion in sentence1, as claiming that art galleries are ""big"" implies they are large, which directly opposes the claim that they are ""not enormous."""
Art galleries are big.,Art galleries are enourmous.,neutral,contradiction,negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that exceeds ""big,"" suggesting that not all art galleries can be classified as merely ""big."""
Art galleries are enourmous.,Art galleries are big.,entailment,contradiction,reverse negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that is significantly larger than ""big,"" suggesting that if art galleries are enormous, they cannot simply be classified as big."
Art galleries are not enourmous.,Art galleries are not big.,neutral,contradiction,negated implicature_N,target,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because ""not big"" implies a lack of size, which is inconsistent with the assertion that art galleries are simply ""not enormous,"" suggesting they could still be of moderate size."
Art galleries are not big.,Art galleries are not enourmous.,entailment,contradiction,reverse negated implicature_N,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because stating that art galleries are ""not enormous"" implies they could still be of a significant size, whereas Sentence 1 asserts they are ""not big,"" suggesting a smaller scale."
Art galleries are enourmous.,Art galleries are not big.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because it directly opposes the assertion that art galleries are enormous by stating that they are not big, which implies a lack of size."
Art galleries are not big.,Art galleries are enourmous.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because it asserts that art galleries are enormous, directly opposing the claim that they are not big."
Art galleries are big.,Art galleries are not big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that art galleries lack the size described, thereby creating a clear contradiction."
Art galleries are not big.,Art galleries are big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly opposes the assertion made in Sentence 1 by stating the opposite quality of art galleries, thereby creating a contradiction."
Art galleries are enourmous.,Art galleries are not enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that art galleries are not enormous, thereby contradicting the claim that they are."
Art galleries are not enourmous.,Art galleries are enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,Sentence 2 directly contradicts Sentence 1 by asserting the opposite claim about the size of art galleries.
These women are smart.,These women are not brilliant.,neutral,entailment,implicature_PtoN,target,adjective,smart-brilliant,"Sentence 2 cannot be an entailment of Sentence 1 because if the women are smart, it does not logically follow that they are not brilliant; in fact, being smart often implies a level of brilliance."
These women are not brilliant.,These women are smart.,neutral,entailment,implicature_NtoP,target,adjective,smart-brilliant,"The assertion that ""These women are not brilliant"" implies a lack of exceptional intelligence, which contradicts the claim that ""These women are smart,"" thus establishing that sentence 2 cannot logically follow from sentence 1."
These women are smart.,These women are brilliant.,neutral,contradiction,negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is not a contradiction of Sentence 1; rather, it reinforces and elevates the positive assessment of the women by suggesting they possess an even higher level of intelligence."
These women are brilliant.,These women are smart.,entailment,contradiction,reverse negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because ""brilliant"" implies a higher level of intelligence than ""smart,"" suggesting that if the women are not considered brilliant, they cannot be classified as smart."
These women are not brilliant.,These women are not smart.,neutral,contradiction,negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because if the women are not brilliant, it does not necessarily imply they are also not smart, as ""brilliant"" and ""smart"" can represent different levels or types of intelligence."
These women are not smart.,These women are not brilliant.,entailment,contradiction,reverse negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because ""not brilliant"" implies a lack of exceptional intelligence, while ""not smart"" suggests a broader deficiency in intelligence, making the two statements incompatible in their implications about the women's cognitive abilities."
These women are brilliant.,These women are not smart.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because stating that ""these women are not smart"" directly opposes the assertion that ""these women are brilliant,"" as brilliance inherently implies a high level of intelligence or smartness."
These women are not smart.,These women are brilliant.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because the assertion that ""these women are brilliant"" directly opposes the claim that ""these women are not smart,"" as brilliance implies a high level of intelligence."
These women are smart.,These women are not smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that the women, who are described as smart, are in fact not smart, creating a clear contradiction."
These women are not smart.,These women are smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly opposes the assertion made in Sentence 1 by affirming the intelligence of the women, thereby creating a contradiction."
These women are brilliant.,These women are not brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that the women lack brilliance, thereby contradicting the original claim."
These women are not brilliant.,These women are brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly opposes the assertion made in Sentence 1 by affirming the brilliance of the women, thereby creating a contradiction."
That fork is good.,That fork is not excellent.,neutral,entailment,implicature_PtoN,target,adjective,good-excellent,"The statement ""That fork is good"" implies a positive quality, which does not necessarily equate to ""excellent,"" allowing for the interpretation that it could be considered ""not excellent."""
That fork is not excellent.,That fork is good.,neutral,entailment,implicature_NtoP,target,adjective,good-excellent,"The statement ""That fork is not excellent"" implies that it does not meet a high standard of quality, which contradicts the assertion that ""That fork is good,"" thus establishing that sentence 2 cannot logically follow from sentence 1."
That fork is good.,That fork is excellent.,neutral,contradiction,negated implicature_P,target,adjective,good-excellent,"Sentence 2 is a contradiction of Sentence 1 because ""excellent"" implies a higher quality than ""good,"" suggesting that the two statements cannot coexist in the same evaluative context."
That fork is excellent.,That fork is good.,entailment,contradiction,reverse negated implicature_P,target,adjective,good-excellent,"Sentence 2 is a contradiction of Sentence 1 because ""excellent"" implies a higher quality than ""good,"" suggesting that if the fork is excellent, it cannot merely be classified as good."
That fork is not excellent.,That fork is not good.,neutral,contradiction,negated implicature_N,target,adjective,good-excellent,"Sentence 2 contradicts Sentence 1 because if the fork is not excellent, it implies a lower quality, but stating it is ""not good"" suggests it may still be acceptable, creating a conflict in the assessment of its quality."
That fork is not good.,That fork is not excellent.,entailment,contradiction,reverse negated implicature_N,target,adjective,good-excellent,"Sentence 2 is a contradiction of Sentence 1 because stating that the fork is ""not excellent"" implies it could still be acceptable or average, while ""not good"" suggests it is below an acceptable standard."
That fork is excellent.,That fork is not good.,contradiction,contradiction,opposite,control,adjective,good-excellent,"Sentence 2 contradicts Sentence 1 because it directly opposes the positive evaluation of the fork's quality by stating it is ""not good."""
That fork is not good.,That fork is excellent.,contradiction,contradiction,opposite,control,adjective,good-excellent,"Sentence 2 directly contradicts Sentence 1 by asserting the fork's quality as ""excellent,"" which opposes the claim that it is ""not good."""
That fork is good.,That fork is not good.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly negates the positive evaluation expressed in Sentence 1, asserting that the fork lacks the quality of being good, thereby creating a contradiction."
That fork is not good.,That fork is good.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly opposes the evaluation of the fork presented in Sentence 1, asserting a positive quality where Sentence 1 claims a negative one, thus creating a contradiction."
That fork is excellent.,That fork is not excellent.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly negates the quality asserted in Sentence 1, making it a clear contradiction."
That fork is not excellent.,That fork is excellent.,contradiction,contradiction,negation,control,adjective,good-excellent,"Sentence 2 directly opposes the assertion made in Sentence 1 by affirming the excellence of the fork, thereby creating a contradiction."
The candles are big.,The candles are not enourmous.,neutral,entailment,implicature_PtoN,target,adjective,big-enourmous,"If the candles are big, it logically follows that they cannot be classified as enormous, thus supporting the entailment."
The candles are not enourmous.,The candles are big.,neutral,entailment,implicature_NtoP,target,adjective,big-enourmous,"The statement that ""The candles are not enormous"" implies that they cannot be classified as ""big,"" as ""big"" suggests a size that is at least considerable, which contradicts the negation of ""enormous."""
The candles are big.,The candles are enourmous.,neutral,contradiction,negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that exceeds ""big,"" suggesting that the candles cannot be both big and enormous simultaneously."
The candles are enourmous.,The candles are big.,entailment,contradiction,reverse negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size significantly larger than ""big,"" suggesting that if the candles are enormous, they cannot simply be classified as big."
The candles are not enourmous.,The candles are not big.,neutral,contradiction,negated implicature_N,target,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because if the candles are not enormous, they could still be considered big, thus creating a logical inconsistency."
The candles are not big.,The candles are not enourmous.,entailment,contradiction,reverse negated implicature_N,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because stating that ""the candles are not enormous"" implies they could still be considered big, which directly opposes the assertion that ""the candles are not big."""
The candles are enourmous.,The candles are not big.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because stating that ""the candles are not big"" directly opposes the assertion that ""the candles are enormous,"" which implies they are indeed very large."
The candles are not big.,The candles are enourmous.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 directly contradicts Sentence 1 because describing the candles as ""enormous"" implies they are large, which opposes the assertion that they are ""not big."""
The candles are big.,The candles are not big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that the candles lack the size described, thereby creating a contradiction."
The candles are not big.,The candles are big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly opposes the assertion made in Sentence 1 by stating the opposite quality of the candles, thereby creating a contradiction."
The candles are enourmous.,The candles are not enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that the candles lack the quality of being enormous, thereby creating a contradiction."
The candles are not enourmous.,The candles are enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly asserts the opposite of what Sentence 1 states, making it a clear contradiction."
Tanya is big.,Tanya is not enourmous.,neutral,entailment,implicature_PtoN,target,adjective,big-enourmous,"The statement ""Tanya is big"" does not necessarily imply that she cannot be considered enormous, as ""big"" and ""enormous"" can be interpreted as overlapping but distinct categories of size."
Tanya is not enourmous.,Tanya is big.,neutral,entailment,implicature_NtoP,target,adjective,big-enourmous,"If Tanya is not enormous, it implies that she cannot be classified as big, thus making sentence 2 an entailment of sentence 1."
Tanya is big.,Tanya is enourmous.,neutral,contradiction,negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is not a contradiction of Sentence 1; rather, it intensifies the description of Tanya, as ""enormous"" implies a greater size than ""big."""
Tanya is enourmous.,Tanya is big.,entailment,contradiction,reverse negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that is significantly larger than ""big,"" suggesting that if Tanya is enormous, she cannot simply be described as big."
Tanya is not enourmous.,Tanya is not big.,neutral,contradiction,negated implicature_N,target,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because if Tanya is not enormous, it does not necessarily imply that she is also not big, as ""not enormous"" allows for the possibility of being of a moderate size."
Tanya is not big.,Tanya is not enourmous.,entailment,contradiction,reverse negated implicature_N,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""not enormous"" implies a size that could still be considered ""big,"" thus contradicting the assertion that Tanya is ""not big."""
Tanya is enourmous.,Tanya is not big.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because stating that ""Tanya is not big"" directly opposes the assertion that ""Tanya is enormous,"" as ""enormous"" implies a significant size."
Tanya is not big.,Tanya is enourmous.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 directly contradicts Sentence 1 because describing Tanya as ""enormous"" implies she is large, which opposes the assertion that she is ""not big."""
Tanya is big.,Tanya is not big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating the opposite of Tanya's size, thereby creating a contradiction."
Tanya is not big.,Tanya is big.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly opposes the assertion made in Sentence 1 by stating the opposite quality of Tanya, thereby creating a contradiction."
Tanya is enourmous.,Tanya is not enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Tanya is not enormous, which contradicts the claim that she is."
Tanya is not enourmous.,Tanya is enourmous.,contradiction,contradiction,negation,control,adjective,big-enourmous,"Sentence 2 directly asserts the opposite of what Sentence 1 states, making it a clear contradiction."
Ella is smart.,Ella is not brilliant.,neutral,entailment,implicature_PtoN,target,adjective,smart-brilliant,"Sentence 2 is not an entailment of Sentence 1 because stating ""Ella is smart"" does not logically imply that she is not brilliant; in fact, being smart could suggest a level of brilliance."
Ella is not brilliant.,Ella is smart.,neutral,entailment,implicature_NtoP,target,adjective,smart-brilliant,"The assertion that ""Ella is not brilliant"" implies a lack of exceptional intelligence, which contradicts the claim that ""Ella is smart,"" thus making sentence 2 an entailment of sentence 1."
Ella is smart.,Ella is brilliant.,neutral,contradiction,negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is not a contradiction of Sentence 1; rather, it reinforces and amplifies the positive assessment of Ella's intelligence."
Ella is brilliant.,Ella is smart.,entailment,contradiction,reverse negated implicature_P,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because ""brilliant"" implies a higher level of intelligence than merely being ""smart,"" suggesting that if Ella is not considered brilliant, she cannot be smart."
Ella is not brilliant.,Ella is not smart.,neutral,contradiction,negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because if Ella is not brilliant, it implies a lack of exceptional intelligence, which can be interpreted as being not smart, thus creating a logical inconsistency."
Ella is not smart.,Ella is not brilliant.,entailment,contradiction,reverse negated implicature_N,target,adjective,smart-brilliant,"Sentence 2 is a contradiction of Sentence 1 because ""not brilliant"" implies a lack of exceptional intelligence, which contradicts the broader assertion of ""not smart."""
Ella is brilliant.,Ella is not smart.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"If Ella is brilliant, then it logically follows that she must be smart, making the assertion that she is not smart a direct contradiction."
Ella is not smart.,Ella is brilliant.,contradiction,contradiction,opposite,control,adjective,smart-brilliant,"Sentence 2 contradicts Sentence 1 because describing Ella as ""brilliant"" implies a high level of intelligence, directly opposing the claim that she is ""not smart."""
Ella is smart.,Ella is not smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1, making it a clear contradiction."
Ella is not smart.,Ella is smart.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly asserts the opposite of what Sentence 1 claims, making it a clear contradiction."
Ella is brilliant.,Ella is not brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Ella lacks brilliance, which contradicts the claim that she is brilliant."
Ella is not brilliant.,Ella is brilliant.,contradiction,contradiction,negation,control,adjective,smart-brilliant,"Sentence 2 directly asserts the opposite of what Sentence 1 states, making it a clear contradiction."
This cart is fine.,This cart is not great.,neutral,entailment,implicature_PtoN,target,adjective,fine-great,"The statement ""This cart is fine"" implies a neutral or acceptable quality, which can entail that it is not considered ""great,"" as ""fine"" suggests a level of adequacy that does not reach greatness."
This cart is not great.,This cart is fine.,neutral,entailment,implicature_NtoP,target,adjective,fine-great,"The statement ""This cart is fine"" can be interpreted as a less negative or neutral assessment compared to ""This cart is not great,"" suggesting that the latter implies the former."
This cart is fine.,This cart is great.,neutral,contradiction,negated implicature_P,target,adjective,fine-great,"Sentence 2 is a contradiction of Sentence 1 because ""great"" implies a higher quality than ""fine,"" suggesting that if the cart is only ""fine,"" it cannot simultaneously be ""great."""
This cart is great.,This cart is fine.,entailment,contradiction,reverse negated implicature_P,target,adjective,fine-great,"Sentence 2 is a contradiction of Sentence 1 because ""fine"" implies a neutral or mediocre quality, which directly opposes the positive evaluation of ""great."""
This cart is not great.,This cart is not fine.,neutral,contradiction,negated implicature_N,target,adjective,fine-great,"Sentence 2 contradicts Sentence 1 because if the cart is ""not great,"" it implies a level of inadequacy that is inconsistent with being ""not fine,"" which suggests a different, potentially lesser degree of quality."
This cart is not fine.,This cart is not great.,entailment,contradiction,reverse negated implicature_N,target,adjective,fine-great,"Sentence 2 is a contradiction of Sentence 1 because if the cart is not fine, it implies a negative quality, while stating it is ""not great"" suggests a different, albeit still negative, assessment that does not directly oppose the original claim."
This cart is great.,This cart is not fine.,contradiction,contradiction,opposite,control,adjective,fine-great,"Sentence 2 contradicts Sentence 1 because stating that ""this cart is not fine"" directly opposes the positive assertion that ""this cart is great."""
This cart is not fine.,This cart is great.,contradiction,contradiction,opposite,control,adjective,fine-great,"Sentence 2 contradicts Sentence 1 because stating ""This cart is great"" implies a positive assessment, directly opposing the negative assertion of ""This cart is not fine."""
This cart is fine.,This cart is not fine.,contradiction,contradiction,negation,control,adjective,fine-great,"Sentence 2 directly negates the assertion made in Sentence 1, claiming the opposite quality of the cart."
This cart is not fine.,This cart is fine.,contradiction,contradiction,negation,control,adjective,fine-great,"Sentence 2 directly opposes the assertion made in Sentence 1 by stating the opposite quality of the cart, thereby creating a contradiction."
This cart is great.,This cart is not great.,contradiction,contradiction,negation,control,adjective,fine-great,"Sentence 2 directly negates the positive assertion made in Sentence 1, thereby contradicting its claim about the cart's quality."
This cart is not great.,This cart is great.,contradiction,contradiction,negation,control,adjective,fine-great,"Sentence 2 directly opposes the evaluation of the cart presented in Sentence 1, asserting a positive quality (""great"") that contradicts the negative assessment (""not great"")."
Tammy is big.,Tammy is not enourmous.,neutral,entailment,implicature_PtoN,target,adjective,big-enourmous,"The statement ""Tammy is big"" does not necessarily imply that she cannot be enormous, as ""big"" can encompass a range of sizes, including enormous."
Tammy is not enourmous.,Tammy is big.,neutral,entailment,implicature_NtoP,target,adjective,big-enourmous,"If Tammy is not enormous, it implies that she cannot be classified as ""big,"" as ""big"" typically suggests a significant size, which contradicts the notion of not being enormous."
Tammy is big.,Tammy is enourmous.,neutral,contradiction,negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is not a contradiction of Sentence 1, as ""enormous"" implies a greater degree of size than ""big,"" suggesting that if Tammy is big, she can also be described as enormous."
Tammy is enourmous.,Tammy is big.,entailment,contradiction,reverse negated implicature_P,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because ""enormous"" implies a size that is significantly larger than ""big,"" suggesting that if Tammy is enormous, she cannot simply be described as big."
Tammy is not enourmous.,Tammy is not big.,neutral,contradiction,negated implicature_N,target,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because if Tammy is not enormous, it does not necessarily imply that she is also not big, as ""not enormous"" allows for the possibility of being of a moderate size."
Tammy is not big.,Tammy is not enourmous.,entailment,contradiction,reverse negated implicature_N,target,adjective,big-enourmous,"Sentence 2 is a contradiction of Sentence 1 because if Tammy is not big, it implies she cannot be described as not enormous, as ""not big"" suggests a lack of size that would inherently include being ""not enormous."""
Tammy is enourmous.,Tammy is not big.,contradiction,contradiction,opposite,control,adjective,big-enourmous,"Sentence 2 contradicts Sentence 1 because stating that ""Tammy is not big"" directly opposes the assertion that ""Tammy is enormous,"" as ""enormous"" implies a significant size."
